whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	0974(InnateDB)	1222(mbinfo)	1262(I2D)	1263(Molecular Connections)	1332(bhf-ucl)	1335(HPIDb)	IMEx
A0A023T778	0	0	uniprotkb	10090	0	1	0	0	0	0	0	0	0	0	1
A0A0A0MQ89	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A0A0B4J1F4	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A0A0B4J1F4-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0G2JDV6	0	0	uniprotkb	10090	0	1	0	0	0	0	0	0	0	0	1
A0AUP1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AUV1	0	0	uniprotkb	10090	1	1	0	0	0	0	0	0	0	0	1
A0AUV4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0JLV3	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A0JLX3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0JLY1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0JNT0	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A0JNT9	1	1	uniprotkb	10090	0	1	0	0	0	0	0	0	0	0	1
A0JNT9-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0JNT9-3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0JNU3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0JP43	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0JP43-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0JP43-3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0N9N8	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A0PJE6	0	0	uniprotkb	10090	0	1	0	0	0	0	0	0	0	0	1
A0PJG5	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A0PJN4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0PK84	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1A535	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1A535-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1A546	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1A546-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1A547	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1A5B6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BN54	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A1E2B8	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A1E960	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1EGX6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1IGU4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1IGU4-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1KXC4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L0T3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L0U3	0	0	uniprotkb	10090	1	1	0	0	0	0	0	0	0	0	1
A1L314	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L317	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L333	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A1L347	0	0	uniprotkb	10090	1	1	0	0	0	0	0	0	0	0	1
A1L3C1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L3C1-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L3S7	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A1L3T7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1Y9I9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1YIY0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1YIY0-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1Z198	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1Z198-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1Z198-3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1Z2X7	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A2A259	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A3V1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A3V2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A432	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A2A432-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A4P0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A559	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A559-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A591	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A5E6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A5E6-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A5H7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A5I3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A5K6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A5N8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A5R2	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A2A5V3	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A2A5X4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A5X5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A5Z6	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A2A5Z6-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A654	0	0	uniprotkb	10090	1	1	0	0	0	0	0	0	0	0	1
A2A690	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A690-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A699	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A699-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6A1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6C4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6C4-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6H3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6M5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6M5-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6M5-3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6M5-4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6M5-5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6Q5	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A2A6Q5-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6Q5-3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A6T1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A791	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A2A791-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A7Q9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A7S8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A7S8-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A7S8-3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A7S8-4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A7V7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A7Y5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A7Y5-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A7Z8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A817	0	0	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A2A825	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A863	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1
A2A863-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A863-3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
