whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	0974(InnateDB)	1222(mbinfo)	1262(I2D)	1263(Molecular Connections)	1332(bhf-ucl)	1335(HPIDb)	IMEx	missing_protein_evidence
A0A023JDV8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023NCR8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023NCS0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023ND59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023NDP0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023NDP5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023NDQ1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023NE65	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023NE78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023T672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A023T778	1	1	uniprotkb	10090	0	1	0	0	0	0	0	0	0	0	1	0
A0A023UED4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023UF19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023UL25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023ULC4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023ZT56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A023ZTV5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A024A2Q0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A024A3D6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A024CCR5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A024CD39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A024CD92	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A024CD98	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A024CDU6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A024CEZ3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A024QYR9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A044PY53	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A060GQ68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A060GU49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A067XG46	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A067XG49	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A067XG51	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A067XG53	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A068BD29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A068BD34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
