whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	1222(mbinfo)	1335(HPIDb)	IMEx	missing_protein_evidence
A0A023PXA5	0	0	uniprotkb	559292	0	1	0	0	0	1	0
A0A023PXH6	0	0	uniprotkb	559292	1	0	0	0	0	1	0
A0A023PXI0	0	0	uniprotkb	559292	1	0	0	0	0	1	0
A0A023PXP4	0	0	uniprotkb	559292	0	1	0	0	0	1	0
A0A023PYF7	0	0	uniprotkb	559292	0	1	0	0	0	1	0
A0A023PZ99	0	0	uniprotkb	559292	1	0	0	0	0	1	0
A0A023PZA9	0	0	uniprotkb	559292	1	0	0	0	0	1	0
A0A023PZD0	0	0	uniprotkb	559292	0	1	0	0	0	1	0
A0A023PZE6	0	0	uniprotkb	559292	1	0	0	0	0	1	0
A0A023PZE8	0	0	uniprotkb	559292	0	1	0	0	0	1	0
A0A023PZH5	0	0	uniprotkb	559292	1	1	0	0	0	1	0
A0A023PZM3	0	0	uniprotkb	559292	1	0	0	0	0	1	0
A0A1D0CT74	1	1	0	0	0	0	0	0	0	0	1
A0A1D0CT83	1	1	0	0	0	0	0	0	0	0	1
A0A1D0CXR0	1	1	0	0	0	0	0	0	0	0	1
A5Z2X5	0	0	uniprotkb	559292	0	1	0	0	0	1	0
D6VPM8	0	0	uniprotkb	559292	1	0	0	0	0	1	0
D6VTK4	0	0	uniprotkb	559292	0	1	0	0	0	1	0
E2QC18	1	0	0	0	0	0	0	0	0	0	1
E9PAD6	1	0	0	0	0	0	0	0	0	0	1
E9PAD8	1	0	0	0	0	0	0	0	0	0	1
E9PAE3	1	0	0	0	0	0	0	0	0	0	1
E9PAE4	1	0	0	0	0	0	0	0	0	0	1
E9PAE7	1	0	0	0	0	0	0	0	0	0	1
E9PAE8	1	0	0	0	0	0	0	0	0	0	1
E9PAF1	1	0	0	0	0	0	0	0	0	0	1
O13297	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13329	0	0	uniprotkb	559292	1	1	1	0	0	1	0
O13512	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13516	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13517	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13518	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13519	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13520	0	0	uniprotkb	559292	1	0	0	0	0	1	0
O13521	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13522	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13525	0	0	uniprotkb	559292	1	0	0	0	0	1	0
O13527	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13528	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13530	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13531	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13532	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13534	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13535	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13537	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13539	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13540	0	0	uniprotkb	559292	1	0	0	0	0	1	0
O13541	0	0	uniprotkb	559292	1	0	0	0	0	1	0
O13543	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13545	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13546	0	0	uniprotkb	559292	1	0	0	0	0	1	0
O13547	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13548	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13549	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13550	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13553	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13554	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13555	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13556	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13557	0	0	uniprotkb	559292	1	0	0	0	0	1	0
O13558	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13559	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13561	0	0	uniprotkb	559292	1	0	0	0	0	1	0
O13562	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13563	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13564	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13565	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13566	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13567	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13568	0	0	uniprotkb	559292	1	1	0	0	0	1	0
O13569	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13571	0	0	uniprotkb	559292	1	0	0	0	0	1	0
O13572	0	0	uniprotkb	559292	1	0	0	0	0	1	0
O13573	0	0	uniprotkb	559292	0	1	0	0	0	1	0
O13574	0	0	uniprotkb	559292	0	1	0	0	0	1	0
