whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	1332(bhf-ucl)	IMEx	missing_protein_evidence
A0A0B4J402	0	0	uniprotkb	7227	1	0	0	0	1	0
A0A0B4K753	1	1	0	0	0	0	0	0	0	0
A0A0B4KEG9	0	0	uniprotkb	7227	1	0	0	0	1	0
A0A0B4LFD0	0	0	uniprotkb	7227	1	0	0	0	1	0
A0A0B4LFE6	0	0	uniprotkb	7227	1	0	0	0	1	0
A0A126GUP6	1	1	uniprotkb	7227	1	0	0	0	1	0
A0A126GUP6-2	1	1	0	0	0	0	0	0	0	0
A0A126GUP6-3	1	1	0	0	0	0	0	0	0	0
A0A1F4	1	1	0	0	0	0	0	0	0	0
A0AQH0	0	0	uniprotkb	7227	1	0	0	0	1	0
A1A6Z2	0	0	uniprotkb	7227	1	0	0	0	1	0
A1A708	1	1	0	0	0	0	0	0	0	0
A1A708-2	1	1	0	0	0	0	0	0	0	0
A1A735	0	0	uniprotkb	7227	1	0	0	0	1	0
A1YK02	0	0	uniprotkb	7227	1	0	0	0	1	0
A1YK11	0	0	uniprotkb	7227	0	1	0	0	1	0
A1YK56	0	0	uniprotkb	7227	0	1	0	0	1	0
A1Z6E0	1	1	uniprotkb	7227	1	1	0	0	1	0
A1Z6E8	0	0	uniprotkb	7227	1	0	0	0	1	0
A1Z6F0	0	0	uniprotkb	7227	1	0	0	0	1	0
A1Z6G4	0	0	uniprotkb	7227	1	0	0	0	1	0
A1Z6G6	0	0	uniprotkb	7227	1	0	0	0	1	0
A1Z6G9	0	0	uniprotkb	7227	1	0	0	0	1	0
A1Z6H0	0	0	uniprotkb	7227	1	0	0	0	1	0
A1Z6H6	0	0	uniprotkb	7227	1	0	0	0	1	0
A1Z6H7	0	0	uniprotkb	7227	1	1	0	0	1	0
A1Z6H9	0	0	uniprotkb	7227	1	0	0	0	1	0
A1Z6I7	0	0	uniprotkb	7227	1	1	0	0	1	0
