whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X1263.Molecular.Connections.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A023T4L8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A023T774	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A060D9F2	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FHR7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FHS2	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FIL1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FIL6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FJJ5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FJK1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FL09	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FL15	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FPW3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FPW7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068FPX2	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068LKP4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068LKP7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068LMZ4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068LMZ6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A068LRU9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A075M3N4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A075M4Z6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A075M556	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A075M569	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A076	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A076JTS7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A076JTT8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A076JV56	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A076JYS1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A076JZ47	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A076JZ61	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A076K006	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A076K021	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A076LAS9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A077	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A078	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A088PZK8	1	0	0	0	0	0	0	0	0	0	0	1	0
