whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1332.bhf.ucl.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A021WW32	1	1	0	0	0	0	0	0	0	0	0
A0A021WW37	1	1	0	0	0	0	0	0	0	1	0
A0A021WW64	1	1	0	0	0	0	0	0	0	1	0
A0A021WWX0	1	1	0	0	0	0	0	0	0	1	0
A0A021WZA4	1	1	0	0	0	0	0	0	0	1	0
A0A023GPJ1	1	1	0	0	0	0	0	0	0	1	0
A0A023GPJ3	1	1	0	0	0	0	0	0	0	1	0
A0A023GPK8	1	1	0	0	0	0	0	0	0	1	0
A0A023GPM0	1	1	0	0	0	0	0	0	0	1	0
A0A023GPM5	1	1	0	0	0	0	0	0	0	1	0
A0A023GPN3	1	1	0	0	0	0	0	0	0	1	0
A0A023GPN7	1	1	0	0	0	0	0	0	0	1	0
A0A023GPV6	1	1	0	0	0	0	0	0	0	0	0
A0A023GQ04	1	1	0	0	0	0	0	0	0	1	0
A0A023GQ84	1	1	0	0	0	0	0	0	0	1	0
A0A023GQ97	1	1	0	0	0	0	0	0	0	1	0
A0A023GQ99	1	1	0	0	0	0	0	0	0	0	0
A0A023GQA5	1	1	0	0	0	0	0	0	0	0	0
A0A023GRW2	1	0	0	0	0	0	0	0	0	1	0
A0A023GRW3	1	1	0	0	0	0	0	0	0	1	0
A0A023GRW4	1	1	0	0	0	0	0	0	0	0	0
A0A023SGM0	1	0	0	0	0	0	0	0	0	1	0
A0A023T5E7	1	0	0	0	0	0	0	0	0	1	0
A0A023UHN6	1	0	0	0	0	0	0	0	0	1	0
A0A023UIB9	1	0	0	0	0	0	0	0	0	1	0
A0A023UIX6	1	0	0	0	0	0	0	0	0	1	0
A0A023UKB8	1	0	0	0	0	0	0	0	0	1	0
A0A024E293	1	0	0	0	0	0	0	0	0	1	0
A0A024E347	1	0	0	0	0	0	0	0	0	1	0
A0A024E3A5	1	0	0	0	0	0	0	0	0	1	0
A0A068B1F8	1	0	0	0	0	0	0	0	0	1	0
A0A075BHV6	1	0	0	0	0	0	0	0	0	1	0
A0A075BHV8	1	0	0	0	0	0	0	0	0	1	0
A0A075BHW2	1	0	0	0	0	0	0	0	0	1	0
A0A075BHX7	1	0	0	0	0	0	0	0	0	1	0
A0A075BHY7	1	0	0	0	0	0	0	0	0	1	0
