#ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Method	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Database	Interaction Identifiers	Confidence Values
entrez gene/locuslink:7015	entrez gene/locuslink:4691	biogrid:112874|entrez gene/locuslink:TERT	biogrid:110771|entrez gene/locuslink:NCL	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:C23(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Khurts S (2004)"	pubmed:15371412	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:243317	-
entrez gene/locuslink:4691	entrez gene/locuslink:7015	biogrid:110771|entrez gene/locuslink:NCL	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:C23(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Khurts S (2004)"	pubmed:15371412	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:243318	-
entrez gene/locuslink:10445	entrez gene/locuslink:7015	biogrid:115710|entrez gene/locuslink:MCRS1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:ICP22BP(gene name synonym)|entrez gene/locuslink:INO80Q(gene name synonym)|entrez gene/locuslink:MCRS2(gene name synonym)|entrez gene/locuslink:MSP58(gene name synonym)|entrez gene/locuslink:P78(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Song H (2004)"	pubmed:15044100	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:252115	-
entrez gene/locuslink:10445	entrez gene/locuslink:7015	biogrid:115710|entrez gene/locuslink:MCRS1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:ICP22BP(gene name synonym)|entrez gene/locuslink:INO80Q(gene name synonym)|entrez gene/locuslink:MCRS2(gene name synonym)|entrez gene/locuslink:MSP58(gene name synonym)|entrez gene/locuslink:P78(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Song H (2004)"	pubmed:15044100	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:252116	-
entrez gene/locuslink:7015	entrez gene/locuslink:23293	biogrid:112874|entrez gene/locuslink:TERT	biogrid:116888|entrez gene/locuslink:SMG6	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:C17orf31(gene name synonym)|entrez gene/locuslink:EST1A(gene name synonym)|entrez gene/locuslink:SMG-6(gene name synonym)|entrez gene/locuslink:hSMG5/7a(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Snow BE (2003)"	pubmed:12699629	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:259202	-
entrez gene/locuslink:7015	entrez gene/locuslink:23381	biogrid:112874|entrez gene/locuslink:TERT	biogrid:116957|entrez gene/locuslink:SMG5|entrez gene/locuslink:RP11-54H19.7	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:EST1B(gene name synonym)|entrez gene/locuslink:LPTS-RP1(gene name synonym)|entrez gene/locuslink:LPTSRP1(gene name synonym)|entrez gene/locuslink:SMG-5(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Snow BE (2003)"	pubmed:12699629	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:259203	-
entrez gene/locuslink:3320	entrez gene/locuslink:7015	biogrid:109552|entrez gene/locuslink:HSP90AA1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:EL52(gene name synonym)|entrez gene/locuslink:HSP86(gene name synonym)|entrez gene/locuslink:HSP89A(gene name synonym)|entrez gene/locuslink:HSP90A(gene name synonym)|entrez gene/locuslink:HSP90N(gene name synonym)|entrez gene/locuslink:HSPC1(gene name synonym)|entrez gene/locuslink:HSPCA(gene name synonym)|entrez gene/locuslink:HSPCAL1(gene name synonym)|entrez gene/locuslink:HSPCAL4(gene name synonym)|entrez gene/locuslink:HSPN(gene name synonym)|entrez gene/locuslink:Hsp89(gene name synonym)|entrez gene/locuslink:Hsp90(gene name synonym)|entrez gene/locuslink:LAP-2(gene name synonym)|entrez gene/locuslink:LAP2(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Haendeler J (2003)"	pubmed:12586360	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:268246	-
entrez gene/locuslink:7015	entrez gene/locuslink:7520	biogrid:112874|entrez gene/locuslink:TERT	biogrid:113353|entrez gene/locuslink:XRCC5	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:KARP-1(gene name synonym)|entrez gene/locuslink:KARP1(gene name synonym)|entrez gene/locuslink:KU80(gene name synonym)|entrez gene/locuslink:KUB2(gene name synonym)|entrez gene/locuslink:Ku86(gene name synonym)|entrez gene/locuslink:NFIV(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Chai W (2002)"	pubmed:12377759	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:276629	-
entrez gene/locuslink:7015	entrez gene/locuslink:2547	biogrid:112874|entrez gene/locuslink:TERT	biogrid:108822|entrez gene/locuslink:XRCC6|entrez gene/locuslink:CTA-216E10.7	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:CTC75(gene name synonym)|entrez gene/locuslink:CTCBF(gene name synonym)|entrez gene/locuslink:G22P1(gene name synonym)|entrez gene/locuslink:KU70(gene name synonym)|entrez gene/locuslink:ML8(gene name synonym)|entrez gene/locuslink:TLAA(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Chai W (2002)"	pubmed:12377759	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:276630	-
entrez gene/locuslink:7015	entrez gene/locuslink:7520	biogrid:112874|entrez gene/locuslink:TERT	biogrid:113353|entrez gene/locuslink:XRCC5	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:KARP-1(gene name synonym)|entrez gene/locuslink:KARP1(gene name synonym)|entrez gene/locuslink:KU80(gene name synonym)|entrez gene/locuslink:KUB2(gene name synonym)|entrez gene/locuslink:Ku86(gene name synonym)|entrez gene/locuslink:NFIV(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Chai W (2002)"	pubmed:12377759	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:276631	-
