V1	V2	V10	V11	V5	V6
uniprotkb:P22626	uniprotkb:P09450	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	P22626 - is human	P22626
uniprotkb:P22626	uniprotkb:P04585	taxid:11676(Human immunodeficiency virus 1)	taxid:9606(Homo sapiens)	P22626 - is human	P22626
uniprotkb:P22626	uniprotkb:P04618	taxid:11676(Human immunodeficiency virus 1)	taxid:9606(Homo sapiens)	P22626 - is human	P22626
uniprotkb:P22626	uniprotkb:P0C732	taxid:10376(Human herpesvirus 4)	taxid:9606(Homo sapiens)	P22626 - is human	P22626
uniprotkb:Q6PDM2	uniprotkb:P22626	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	P22626 - is human	P22626
uniprotkb:P56959	uniprotkb:P22626	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	P22626 - is human	P22626
uniprotkb:Q8BG05	uniprotkb:P22626	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	P22626 - is human	P22626
uniprotkb:Q8AZK7	uniprotkb:P22626	taxid:10376(Human herpesvirus 4)	taxid:9606(Homo sapiens)	P22626 - is human	P22626
uniprotkb:Q5SRY7	uniprotkb:P22626	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	P22626 - is human	P22626
uniprotkb:Q6ZWV7	uniprotkb:P22626	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	P22626 - is human	P22626
uniprotkb:Q15819	uniprotkb:P61089	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	Q15819 - is human	Q15819
uniprotkb:Q94A97	uniprotkb:Q15819	taxid:3702(Arabidopsis thaliana)	taxid:9606(Homo sapiens)	Q15819 - is human	Q15819
uniprotkb:Q94A97	uniprotkb:Q15819	taxid:9606(Homo sapiens)	taxid:3702(Arabidopsis thaliana)	Q15819 - is human	Q15819
uniprotkb:Q9FZ48	uniprotkb:Q15819	taxid:3702(Arabidopsis thaliana)	taxid:9606(Homo sapiens)	Q15819 - is human	Q15819
uniprotkb:Q9FZ48	uniprotkb:Q15819	taxid:9606(Homo sapiens)	taxid:3702(Arabidopsis thaliana)	Q15819 - is human	Q15819
uniprotkb:Q99K95	uniprotkb:Q15819	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	Q15819 - is human	Q15819
uniprotkb:P22670	uniprotkb:P21272	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	P22670 - is human	P22670
uniprotkb:Q6NYC8	uniprotkb:P60710	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	Q6NYC8 - is human	Q6NYC8
uniprotkb:Q6NYC8	uniprotkb:P58771	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	Q6NYC8 - is human	Q6NYC8
uniprotkb:Q6NYC8	uniprotkb:P63005	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	Q6NYC8 - is human	Q6NYC8
uniprotkb:Q6ZQ29	uniprotkb:Q6NYC8	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	Q6NYC8 - is human	Q6NYC8
