Edge1-Edge2	KappaScore
GO:0006958 (term-term) GO:0002455	0.9642059515905119
GO:0006958 (term-term-ontology) GO:0002455	2.0
GO:0007218 (term-term-ontology) GO:0007186	2.0
GO:0007600 (term-term) GO:0007186	0.4442063660103042
GO:0007606 (term-term) GO:0007186	0.5570750300004669
GO:0007606 (term-term) GO:0007600	0.8158813940852286
GO:0007606 (term-term-ontology) GO:0007600	2.0
GO:0007608 (term-term) GO:0007186	0.5292640026533203
GO:0007608 (term-term) GO:0007600	0.7468742879721736
GO:0007608 (term-term) GO:0007606	0.9276195939739954
GO:0007608 (term-term-ontology) GO:0007606	2.0
GO:0009593 (term-term) GO:0007186	0.5636139311322123
GO:0009593 (term-term) GO:0007600	0.7729872402646932
GO:0009593 (term-term) GO:0007606	0.9516449067236864
GO:0009593 (term-term) GO:0007608	0.8960202785220552
GO:0050877 (term-term) GO:0007600	0.9007508857728849
GO:0050877 (term-term) GO:0007606	0.7217175052337264
GO:0050877 (term-term) GO:0007608	0.6562607636409461
GO:0050877 (term-term) GO:0009593	0.6871327140571941
GO:0050877 (term-term-ontology) GO:0007600	2.0
GO:0050906 (term-term) GO:0007186	0.5579684130042177
GO:0050906 (term-term) GO:0007600	0.8021155467080149
GO:0050906 (term-term) GO:0007606	0.9357113818077786
GO:0050906 (term-term) GO:0007608	0.883691638191263
GO:0050906 (term-term) GO:0009593	0.9622527697367423
GO:0050906 (term-term) GO:0050877	0.7085896892278575
GO:0050906 (term-term-ontology) GO:0007600	2.0
GO:0050907 (term-term) GO:0007186	0.5757171921296612
GO:0050907 (term-term) GO:0007600	0.7779825761393909
GO:0050907 (term-term) GO:0007606	0.960485944736053
GO:0050907 (term-term) GO:0007608	0.9084427234352662
GO:0050907 (term-term) GO:0009593	0.9873364430383994
GO:0050907 (term-term) GO:0050877	0.6856599550690372
GO:0050907 (term-term) GO:0050906	0.9747580549533744
GO:0050907 (term-term-ontology) GO:0007600	2.0
GO:0050907 (term-term-ontology) GO:0007606	2.0
GO:0050907 (term-term-ontology) GO:0009593	2.0
GO:0050907 (term-term-ontology) GO:0050906	2.0
GO:0050909 (term-term) GO:0001580	0.8577141486043356
GO:0050909 (term-term-ontology) GO:0007606	2.0
GO:0050911 (term-term) GO:0007186	0.5439857248458625
GO:0050911 (term-term) GO:0007600	0.7191464538095664
GO:0050911 (term-term) GO:0007606	0.8979900902201592
GO:0050911 (term-term) GO:0007608	0.9701500989438647
GO:0050911 (term-term) GO:0009593	0.9246475359282459
GO:0050911 (term-term) GO:0050877	0.6302051728043268
GO:0050911 (term-term) GO:0050906	0.9121484192950022
GO:0050911 (term-term) GO:0050907	0.9372512161039237
GO:0050911 (term-term-ontology) GO:0007608	2.0
GO:0050911 (term-term-ontology) GO:0050907	2.0
GO:0050912 (term-term) GO:0001580	0.9316111175181652
GO:0050912 (term-term) GO:0050909	0.925376890745727
GO:0050912 (term-term-ontology) GO:0001580	2.0
GO:0050912 (term-term-ontology) GO:0050907	2.0
GO:0050912 (term-term-ontology) GO:0050909	2.0
GO:0098661 (term-term) GO:0015698	0.8994795992744894
GO:0098661 (term-term-ontology) GO:0015698	2.0
