species.name	database	reviewed	isoforms	whole.proteome..Uniprot.	uncovered.whole.proteome	whole.proteome..interactome.available	interactome..but.not.in.Uniprot	reference.proteome..Uniprot.	uncovered.reference.proteome	reference.proteome..interactome.available	interactome..but.not.in.Uniprot.1	Overlap.between.interactome.and.the.reference.proteome..fraction	Overlap.between.interactome.and.the.whole.proteome..fraction
Homo sapiens	IMEx	1	TRUE	178616	158989	19627	147	92996	74865	18131	1643	0.194965374854832	0.109793413625862
Homo sapiens	X0469.IntAct.	1	TRUE	178616	160149	18467	121	92996	75826	17170	1418	0.184631597057938	0.103304375066429
Mus musculus	IMEx	1	TRUE	89031	80464	8567	36	58441	50651	7790	813	0.133296829280813	0.0961860172678995
Mus musculus	X0469.IntAct.	1	TRUE	89031	83977	5054	18	58441	53740	4701	371	0.0804401019831967	0.0567437996115284
Drosophila melanogaster	IMEx	1	TRUE	43870	33497	10373	15	23314	13707	9607	781	0.412070000857854	0.236367779423493
Drosophila melanogaster	X0469.IntAct.	1	TRUE	43870	33560	10310	15	23314	13742	9572	753	0.410568756970061	0.234932209183092
Caenorhabditis elegans	IMEx	1	TRUE	28774	23726	5048	10	27996	22972	5024	34	0.179454207743963	0.175375208449138
Caenorhabditis elegans	X0469.IntAct.	1	TRUE	28774	23972	4802	10	27996	23216	4780	32	0.170738676953851	0.166828793774319
Arabidopsis thaliana	IMEx	1	TRUE	79161	73692	5469	38	33469	28259	5210	297	0.155666437598972	0.0690539021957348
Arabidopsis thaliana	X0469.IntAct.	1	TRUE	79161	73961	5200	36	33469	28521	4948	288	0.147838298126625	0.065657394664074
Homo sapiens	IMEx	1	FALSE	156576	139384	17192	130	70956	55260	15696	1626	0.221207508878742	0.109708626344875
Homo sapiens	X0469.IntAct.	1	FALSE	156576	140357	16219	107	70956	56034	14922	1404	0.210299340436327	0.103499546922262
Mus musculus	IMEx	1	FALSE	80894	72468	8426	31	50306	42657	7649	808	0.152049457321194	0.10412109978375
Mus musculus	X0469.IntAct.	1	FALSE	80894	75918	4976	15	50306	45683	4623	368	0.0918975867689739	0.0614890330552981
Drosophila melanogaster	IMEx	1	FALSE	42560	32401	10159	13	22007	12614	9393	779	0.42681873949198	0.238625419867052
Drosophila melanogaster	X0469.IntAct.	1	FALSE	42560	32462	10098	13	22007	12647	9360	751	0.425319216612896	0.237192586850821
Caenorhabditis elegans	IMEx	1	FALSE	27501	22498	5003	10	26723	21744	4979	34	0.186318901320959	0.181854530914907
Caenorhabditis elegans	X0469.IntAct.	1	FALSE	27501	22743	4758	10	26723	21987	4736	32	0.17722561089698	0.172949002217295
Arabidopsis thaliana	IMEx	1	FALSE	77084	71629	5455	38	31392	26196	5196	297	0.165519877675841	0.0707320868234745
Arabidopsis thaliana	X0469.IntAct.	1	FALSE	77084	71896	5188	36	31392	26456	4936	288	0.1572375127421	0.0672700396773943
Homo sapiens	IMEx	2	TRUE	42169	24970	17199	2575	42163	24964	17199	2575	0.407916893959159	0.384386733416771
Homo sapiens	X0469.IntAct.	2	TRUE	42169	25870	16299	2289	42163	25864	16299	2289	0.386571164290966	0.364272304666547
Mus musculus	IMEx	2	TRUE	24976	17607	7369	1234	24970	17602	7368	1235	0.295074088906688	0.28115223197253
Mus musculus	X0469.IntAct.	2	TRUE	24976	20519	4457	615	24970	20514	4456	616	0.178454144973969	0.170049599389546
Drosophila melanogaster	IMEx	2	TRUE	4711	1804	2907	7481	4681	1775	2906	7482	0.620807519760735	0.238435039370079
Drosophila melanogaster	X0469.IntAct.	2	TRUE	4711	1818	2893	7432	4681	1789	2892	7433	0.617816705832087	0.237286745406824
Caenorhabditis elegans	IMEx	2	TRUE	5093	3433	1660	3398	5092	3432	1660	3398	0.326001571091909	0.195501118831704
Caenorhabditis elegans	X0469.IntAct.	2	TRUE	5093	3531	1562	3250	5092	3530	1562	3250	0.30675569520817	0.183959486515134
Arabidopsis thaliana	IMEx	2	TRUE	17152	13161	3991	1516	17079	13089	3990	1517	0.233620235376779	0.213788300835655
Arabidopsis thaliana	X0469.IntAct.	2	TRUE	17152	13396	3756	1480	17079	13324	3755	1481	0.219860647578898	0.201199914291836
Homo sapiens	IMEx	2	FALSE	20129	5365	14764	2558	20123	5359	14764	2558	0.733687819907568	0.650769162956759
Homo sapiens	X0469.IntAct.	2	FALSE	20129	6078	14051	2275	20123	6072	14051	2275	0.698255727277245	0.619341473090316
Mus musculus	IMEx	2	FALSE	16839	9611	7228	1229	16835	9608	7227	1230	0.429284229284229	0.400044277175116
Mus musculus	X0469.IntAct.	2	FALSE	16839	12460	4379	612	16835	12457	4378	613	0.26005346005346	0.242362187292451
Drosophila melanogaster	IMEx	2	FALSE	3401	708	2693	7479	3374	682	2692	7480	0.797866034380557	0.247518382352941
Drosophila melanogaster	X0469.IntAct.	2	FALSE	3401	720	2681	7430	3374	694	2680	7431	0.794309425014819	0.246415441176471
Caenorhabditis elegans	IMEx	2	FALSE	3820	2205	1615	3398	3819	2204	1615	3398	0.422885572139304	0.223746190080355
Caenorhabditis elegans	X0469.IntAct.	2	FALSE	3820	2302	1518	3250	3819	2301	1518	3250	0.397486252945797	0.210307564422278
Arabidopsis thaliana	IMEx	2	FALSE	15075	11098	3977	1516	15002	11026	3976	1517	0.265031329156112	0.239708275571093
Arabidopsis thaliana	X0469.IntAct.	2	FALSE	15075	11331	3744	1480	15002	11259	3743	1481	0.249500066657779	0.225664516906757
