whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1222.mbinfo.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	Protein.names	whole_proteome_Uniprot_IMEx	two_hybrid	all_protein_complementation	AP_MS	two_hybrid_vs_AP_MS
A0A023PXA5	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	189	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	21605	0		1 out of 5	Uncertain	Putative uncharacterized protein YAL019W-A	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PXB0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12092	0		1 out of 5	Uncertain	Putative uncharacterized protein YAR019W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXB5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11193	0		2 out of 5	Uncertain	Putative uncharacterized membrane protein IRC2 (Increased recombination centers protein 2)	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXB9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13391	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YDR199W	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXC2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12414	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YEL053W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXC7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	143	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15999	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER068C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXD3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11926	0		1 out of 5	Uncertain	Putative uncharacterized protein YER088C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXD5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14885	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER147C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXD9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11665	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YFL015W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXE5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12357	0		1 out of 5	Uncertain	Putative uncharacterized protein YHL006W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXE8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11958	0		1 out of 5	Uncertain	Putative uncharacterized protein YHR028W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXF2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12235	0		1 out of 5	Uncertain	Putative uncharacterized protein YHR071C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXF5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11974	0		2 out of 5	Uncertain	Putative uncharacterized helicase-like protein YHR218W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXF8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	147	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15856	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIL066W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXG3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14768	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIL156W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXG7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12051	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YLR230W	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXH2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12510	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YML031C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXH4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17438	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YAL026C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXH5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	47	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	5170	0		1 out of 5	Uncertain	Uncharacterized protein YBR126W-B	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXH6	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14518	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR172C-A	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PXH9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	27059	0		2 out of 5	Uncertain	Putative uncharacterized membrane protein YDR149C	SwissProt_not_IMEX	0	0	0	not in IMEx
