V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
uniprotkb:Q6PB44	uniprotkb:C9J7I0	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:UMAD1 {ECO:0000312|HGNC:HGNC:48955}(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1471993	mentha-score:0.126
uniprotkb:Q6PB44	uniprotkb:O43633	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:CHMP2A(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1467247	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:Q6NZI2	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:PTRF(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1471741	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:P53990	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:IST1(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1464419	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:O95630	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:STAMBP(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1465389	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:O75955	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:FLOT1(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1464987	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:P38606	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:ATP6V1A(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1458662	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:P09496	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:CLTA(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1459217	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:P21281	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:ATP6V1B2(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1458677	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:Q53TN4	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:CYBRD1(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1470031	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:Q03135	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:CAV1(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1458953	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:P61421	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:ATP6V0D1(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1463845	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:Q00610	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:CLTC(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1459254	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:Q2NKJ3	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:CTC1(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1470123	mentha-score:0.236
uniprotkb:Q6PB44	uniprotkb:Q10589	-	-	uniprotkb:PTPN23(gene name)	uniprotkb:BST2(gene name)	psi-mi:MI:0004(affinity chromatography technology)	-	pubmed:26496610	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1458781	mentha-score:0.236
